Sample_ID,site,habitat,position,number,latitude,longitude,elevation,pH
Plant_JA12_3,Ofukasawa,Solfatara field,12,3,38.811169,140.712923,527,4.24
Plant_JA13_1,Ofukasawa,Solfatara field,13,1,38.811224,140.712953,528,3.22
Plant_JA13_2,Ofukasawa,Solfatara field,13,2,38.811224,140.712953,528,3.22
Plant_JA14_1,Ofukasawa,Solfatara field,14,1,38.811211,140.71296,527,3.72
Plant_JA14_2,Ofukasawa,Solfatara field,14,2,38.811211,140.71296,527,3.72
Plant_JA15_1,Ofukasawa,Solfatara field,15,1,38.811245,140.713017,527,3.46
Plant_JA15_2,Ofukasawa,Solfatara field,15,2,38.811245,140.713017,527,3.46
Plant_JB1_1,Ofukasawa,Forest edge,1,1,38.811858,140.713577,529,2.57
Plant_JB1_2,Ofukasawa,Forest edge,1,2,38.811858,140.713577,529,2.57
Plant_JB1_3,Ofukasawa,Forest edge,1,3,38.811858,140.713577,529,2.57
Plant_JB2_1,Ofukasawa,Forest edge,2,1,38.811584,140.713271,529,2.87
Plant_JB2_2,Ofukasawa,Forest edge,2,2,38.811584,140.713271,529,2.87
Plant_JB3_1,Ofukasawa,Forest edge,3,1,38.811455,140.71317,528,2.9
Plant_JB3_2,Ofukasawa,Forest edge,3,2,38.811455,140.71317,528,2.9
Plant_JB4_1,Ofukasawa,Forest edge,4,1,38.81143,140.713184,528,2.64
Plant_JB5_1,Ofukasawa,Forest edge,5,1,38.811453,140.713088,529,2.96
Plant_JB6_1,Ofukasawa,Forest edge,6,1,38.81137,140.713013,529,2.65
Plant_JB6_2,Ofukasawa,Forest edge,6,2,38.81137,140.713013,529,2.65
Plant_JB7_1,Ofukasawa,Forest edge,7,1,38.811468,140.713025,530,2.75
Plant_JB7_2,Ofukasawa,Forest edge,7,2,38.811468,140.713025,530,2.75
Plant_JB7_3,Ofukasawa,Forest edge,7,3,38.811468,140.713025,530,2.75
Plant_JB8_1,Ofukasawa,Forest edge,8,1,38.811425,140.712983,530,2.85
Plant_JB8_2,Ofukasawa,Forest edge,8,2,38.811425,140.712983,530,2.85
Plant_JB9_1,Ofukasawa,Forest edge,9,1,38.811446,140.712898,534,2.64
Plant_JB9_2,Ofukasawa,Forest edge,9,2,38.811446,140.712898,534,2.64
Plant_JB9_3,Ofukasawa,Forest edge,9,3,38.811446,140.712898,534,2.64
Plant_JB9_4,Ofukasawa,Forest edge,9,4,38.811446,140.712898,534,2.64
Plant_JB10_1,Ofukasawa,Forest edge,10,1,38.811367,140.71282,531,2.88
Plant_JB10_2,Ofukasawa,Forest edge,10,2,38.811367,140.71282,531,2.88
Plant_JB10_3,Ofukasawa,Forest edge,10,3,38.811367,140.71282,531,2.88
Plant_JB10_4,Ofukasawa,Forest edge,10,4,38.811367,140.71282,531,2.88
Plant_JB11_1,Ofukasawa,Forest edge,11,1,38.811329,140.712776,532,2.65
Plant_JB11_2,Ofukasawa,Forest edge,11,2,38.811329,140.712776,532,2.65
Plant_JB11_3,Ofukasawa,Forest edge,11,3,38.811329,140.712776,532,2.65
Plant_JB11_4,Ofukasawa,Forest edge,11,4,38.811329,140.712776,532,2.65
Plant_JB12_1,Ofukasawa,Forest edge,12,1,38.811347,140.712703,534,2.7
Plant_JB12_2,Ofukasawa,Forest edge,12,2,38.811347,140.712703,534,2.7
Plant_JB12_3,Ofukasawa,Forest edge,12,3,38.811347,140.712703,534,2.7
Plant_JB12_4,Ofukasawa,Forest edge,12,4,38.811347,140.712703,534,2.7
Plant_JB12_5,Ofukasawa,Forest edge,12,5,38.811347,140.712703,534,2.7
Plant_JB12_6,Ofukasawa,Forest edge,12,6,38.811347,140.712703,534,2.7
Plant_JB13_1,Ofukasawa,Forest edge,13,1,38.811336,140.712703,534,2.72
Plant_JB13_2,Ofukasawa,Forest edge,13,2,38.811336,140.712703,534,2.72
Plant_JB13_3,Ofukasawa,Forest edge,13,3,38.811336,140.712703,534,2.72
Plant_JB13_4,Ofukasawa,Forest edge,13,4,38.811336,140.712703,534,2.72
Plant_JB14_1,Ofukasawa,Forest edge,14,1,38.811359,140.71267,539,2.91
Plant_JB14_2,Ofukasawa,Forest edge,14,2,38.811359,140.71267,539,2.91
Plant_JB14_3,Ofukasawa,Forest edge,14,3,38.811359,140.71267,539,2.91
Plant_JB15_1,Ofukasawa,Forest edge,15,1,38.811345,140.712607,537,2.84
Plant_JB15_2,Ofukasawa,Forest edge,15,2,38.811345,140.712607,537,2.84
Plant_JB15_3,Ofukasawa,Forest edge,15,3,38.811345,140.712607,537,2.84
